freq;iccs;unit;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;ICCS0101;NR;AL,88 ,82 ,118 ,124 ,125 ,107 ,98 ,54 ,71 ,52 ,51 
A;ICCS0101;NR;AT,58 ,51 ,61 ,80 ,88 ,63 ,43 ,42 ,49 ,61 ,73 
A;ICCS0101;NR;BA,66 ,67 ,54 ,49 ,60 ,46 ,49 ,56 ,42 ,34 ,36 
A;ICCS0101;NR;BE,204 ,189 ,189 ,214 ,206 ,204 ,210 ,231 ,174 ,196 ,177 
A;ICCS0101;NR;BG,172 ,150 ,148 ,128 ,141 ,109 ,112 ,126 ,79 ,95 ,92 
A;ICCS0101;NR;CH,54 ,51 ,53 ,46 ,45 ,57 ,41 ,57 ,45 ,45 ,50 
A;ICCS0101;NR;CY,9 ,19 ,7 ,8 ,19 ,11 ,10 ,12 ,11 ,7 ,14 
A;ICCS0101;NR;CZ,113 ,105 ,105 ,83 ,95 ,90 ,81 ,88 ,65 ,40 ,55 
A;ICCS0101;NR;DE,656 ,721 ,699 ,689 ,619 ,623 ,645 ,655 ,747 ,738 ,632 
A;ICCS0101;NR;DK,53 ,56 ,49 ,49 ,43 ,41 ,62 ,52 ,53 ,61 ,54 
A;ICCS0101;NR;EE,84 ,70 ,70 ,65 ,63 ,52 ,41 ,50 ,33 ,29 ,25 
A;ICCS0101;NR;EL,139 ,143 ,176 ,184 ,165 ,141 ,105 ,86 ,81 ,78 ,94 
A;ICCS0101;NR;ES,407 ,412 ,401 ,385 ,364 ,302 ,323 ,302 ,294 ,307 ,290 
A;ICCS0101;NR;FI,133 ,120 ,119 ,110 ,88 ,89 ,88 ,82 ,74 ,68 ,90 
A;ICCS0101;NR;FR,975 ,804 ,797 ,874 ,814 ,802 ,765 ,1029 ,884 ,813 ,779 
A;ICCS0101;NR;HR,71 ,49 ,62 ,49 ,51 ,46 ,36 ,37 ,44 ,46 ,24 
A;ICCS0101;NR;HU,147 ,139 ,133 ,142 ,113 ,138 ,129 ,202 ,91 ,85 ,83 
A;ICCS0101;NR;IE,51 ,53 ,55 ,42 ,52 ,51 ,53 ,30 ,35 ,42 ,42 
A;ICCS0101;NR;IS,0 ,1 ,2 ,3 ,1 ,1 ,2 ,3 ,1 ,3 ,2 
A;ICCS0101;NR;IT,615 ,590 ,529 ,552 ,530 ,506 ,487 ,471 ,404 ,371 ,345 
A;ICCS0101;NR;LI,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 
A;ICCS0101;NR;LT,286 ,240 ,199 ,189 ,181 ,172 ,155 ,168 ,142 ,113 ,97 
A;ICCS0101;NR;LU,7 ,5 ,8 ,4 ,3 ,2 ,4 ,5 ,5 ,2 ,3 
A;ICCS0101;NR;LV,99 ,108 ,70 ,69 ,97 ,69 ,77 ,81 ,111 ,109 ,101 
A;ICCS0101;NR;ME,22 ,10 ,13 ,19 ,15 ,9 ,19 ,17 ,24 ,11 ,13 
A;ICCS0101;NR;MK,35 ,35 ,39 ,27 ,28 ,20 ,25 ,21 ,17 ,25 ,: 
A;ICCS0101;NR;MT,6 ,4 ,4 ,3 ,10 ,6 ,6 ,4 ,5 ,9 ,6 
A;ICCS0101;NR;NL,150 ,154 ,: ,: ,: ,147 ,144 ,120 ,108 ,158 ,119 
A;ICCS0101;NR;NO,34 ,29 ,29 ,111 ,27 ,47 ,29 ,24 ,27 ,28 ,25 
A;ICCS0101;NR;PL,460 ,493 ,436 ,449 ,377 ,296 ,282 ,287 ,256 ,278 ,265 
A;ICCS0101;NR;PT,124 ,130 ,124 ,114 ,122 ,144 ,92 ,100 ,66 ,76 ,81 
A;ICCS0101;NR;RO,470 ,397 ,404 ,335 ,378 ,336 ,298 ,291 ,247 ,256 ,267 
A;ICCS0101;NR;RS,128 ,136 ,114 ,114 ,104 ,132 ,114 ,96 ,106 ,79 ,104 
A;ICCS0101;NR;SE,82 ,93 ,91 ,81 ,68 ,87 ,87 ,112 ,106 ,113 ,108 
A;ICCS0101;NR;SI,11 ,13 ,11 ,17 ,14 ,12 ,17 ,20 ,10 ,19 ,10 
A;ICCS0101;NR;SK,94 ,84 ,89 ,96 ,75 ,78 ,72 ,48 ,60 ,80 ,67 
A;ICCS0101;NR;TR,: ,2090 ,1766 ,1688 ,1806 ,: ,: ,: ,: ,: ,: 
A;ICCS0101;NR;UKC-L,638 ,595 ,632 ,526 ,544 ,521 ,510 ,546 ,675 ,704 ,671 
A;ICCS0101;NR;UKM,95 ,84 ,100 ,93 ,63 ,61 ,62 ,59 ,62 ,59 ,60 
A;ICCS0101;NR;UKN,24 ,29 ,23 ,23 ,21 ,20 ,17 ,24 ,18 ,24 ,23 
A;ICCS0101;NR;XK,113 ,73 ,106 ,62 ,90 ,41 ,38 ,27 ,29 ,33 ,43 
A;ICCS0101;P_HTHAB;AL,2.78 ,2.57 ,: ,4.38 ,: ,: ,3.38 ,1.86 ,2.46 ,1.81 ,1.78 
A;ICCS0101;P_HTHAB;AT,0.70 ,0.61 ,0.73 ,0.96 ,1.05 ,0.75 ,0.51 ,0.49 ,0.56 ,0.70 ,0.83 
A;ICCS0101;P_HTHAB;BA,1.72 ,1.74 ,1.40 ,1.27 ,1.56 ,: ,: ,: ,: ,: ,: 
A;ICCS0101;P_HTHAB;BE,1.91 ,1.76 ,1.74 ,1.95 ,1.86 ,1.83 ,1.88 ,2.06 ,1.54 ,1.73 ,1.55 
A;ICCS0101;P_HTHAB;BG,2.29 ,2.01 ,1.99 ,1.74 ,1.92 ,1.50 ,1.55 ,1.75 ,1.10 ,1.34 ,1.30 
